timestamp,sensor1value
2022-05-16T12:31:01Z,38.125
2022-05-16T12:32:10Z,38.125
2022-05-16T12:33:22Z,38.5625
2022-05-16T12:34:32Z,38.6875
2022-05-16T12:35:41Z,38.625
2022-05-16T12:36:50Z,38.5
2022-05-16T12:37:59Z,38.375
2022-05-16T12:39:08Z,38.1875
2022-05-16T12:40:18Z,38
2022-05-16T12:41:27Z,38.5
2022-05-16T12:42:36Z,38.6875
2022-05-16T12:43:45Z,38.6875
2022-05-16T12:44:55Z,38.5625
2022-05-16T12:46:04Z,38.4375
2022-05-16T12:47:13Z,38.25
2022-05-16T12:48:22Z,38.0625
2022-05-16T12:49:31Z,38.3125
2022-05-16T12:50:41Z,38.6875
2022-05-16T12:51:50Z,38.75
2022-05-16T12:52:59Z,38.625
2022-05-16T12:54:08Z,38.5
2022-05-16T12:55:18Z,38.3125
2022-05-16T12:56:27Z,38.125
2022-05-16T12:57:36Z,38.125
2022-05-16T12:58:45Z,38.5625
2022-05-16T12:59:54Z,38.75
2022-05-16T13:01:04Z,38.6875
2022-05-16T13:02:13Z,38.5625
2022-05-16T13:03:22Z,38.375
2022-05-16T13:04:32Z,38.1875
2022-05-16T13:05:41Z,38
2022-05-16T13:06:50Z,38.4375
2022-05-16T13:07:59Z,38.6875
2022-05-16T13:09:09Z,38.6875
2022-05-16T13:10:18Z,38.625
2022-05-16T13:11:27Z,38.4375
2022-05-16T13:12:36Z,38.25
2022-05-16T13:13:46Z,38.0625
2022-05-16T13:14:55Z,38.3125
2022-05-16T13:16:04Z,38.625
2022-05-16T13:17:13Z,38.6875
2022-05-16T13:18:23Z,38.625
2022-05-16T13:19:32Z,38.5
2022-05-16T13:20:41Z,38.3125
2022-05-16T13:21:50Z,38.125
2022-05-16T13:23:00Z,38.125
2022-05-16T13:24:09Z,38.5625
2022-05-16T13:25:18Z,38.6875
2022-05-16T13:26:27Z,38.6875
2022-05-16T13:27:37Z,38.5625
2022-05-16T13:28:46Z,38.375
2022-05-16T13:29:55Z,38.1875
2022-05-16T13:31:04Z,38
2022-05-16T13:32:13Z,38.4375
2022-05-16T13:33:23Z,38.6875
2022-05-16T13:34:32Z,38.6875
2022-05-16T13:35:41Z,38.625
2022-05-16T13:36:51Z,38.4375
2022-05-16T13:38:00Z,38.25
2022-05-16T13:39:09Z,38.0625
2022-05-16T13:40:18Z,38.3125
2022-05-16T13:41:27Z,38.625
2022-05-16T13:42:37Z,38.75
2022-05-16T13:43:46Z,38.625
2022-05-16T13:44:55Z,38.5
2022-05-16T13:46:04Z,38.3125
2022-05-16T13:47:14Z,38.125
2022-05-16T13:48:23Z,38.125
2022-05-16T13:49:32Z,38.5625
2022-05-16T13:50:41Z,38.75
2022-05-16T13:51:51Z,38.6875
2022-05-16T13:53:00Z,38.5625
2022-05-16T13:54:09Z,38.375
2022-05-16T13:55:18Z,38.1875
2022-05-16T13:56:28Z,38.0625
2022-05-16T13:57:37Z,38.4375
2022-05-16T13:58:46Z,38.6875
2022-05-16T13:59:56Z,38.6875
2022-05-16T14:01:05Z,38.625
2022-05-16T14:02:14Z,38.4375
2022-05-16T14:03:23Z,38.25
2022-05-16T14:04:33Z,38.125
2022-05-16T14:05:42Z,38.25
2022-05-16T14:06:51Z,38.625
2022-05-16T14:08:01Z,38.6875
2022-05-16T14:09:10Z,38.625
2022-05-16T14:10:19Z,38.5
2022-05-16T14:11:28Z,38.3125
2022-05-16T14:12:37Z,38.1875
2022-05-16T14:13:47Z,38.0625
2022-05-16T14:14:56Z,38.5
2022-05-16T14:16:05Z,38.6875
2022-05-16T14:17:14Z,38.6875
2022-05-16T14:18:23Z,38.5625
2022-05-16T14:19:33Z,38.375
2022-05-16T14:20:42Z,38.25
2022-05-16T14:21:51Z,38.0625
2022-05-16T14:23:00Z,38.375
2022-05-16T14:24:10Z,38.6875
2022-05-16T14:25:19Z,38.6875
2022-05-16T14:26:28Z,38.625
2022-05-16T14:27:37Z,38.5
2022-05-16T14:28:46Z,38.3125
2022-05-16T14:29:56Z,38.125
